id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_81,02,PM082,Escuinapa,México,,,2021-06-01
waybill_complemento_estacion_82,02,PM083,Teacapan,México,,,2021-06-01
waybill_complemento_estacion_83,02,PM084,Guaymas,México,,,2021-06-01
waybill_complemento_estacion_84,02,PM085,Puerto Peñasco,México,,,2021-06-01
waybill_complemento_estacion_85,02,PM086,Golfo de Santa Clara,México,,,2021-06-01
waybill_complemento_estacion_86,02,PM087,Bahía Kino,México,,,2021-06-01
waybill_complemento_estacion_87,02,PM088,Yavaros,México,,,2021-06-01
waybill_complemento_estacion_88,02,PM089,Puerto Libertad,México,,,2021-06-01
waybill_complemento_estacion_89,02,PM090,General Rodolfo Sánchez Toboada,México,,,2021-06-01
waybill_complemento_estacion_90,02,PM091,San Carlos,México,,,2021-06-01
waybill_complemento_estacion_91,02,PM092,Dos Bocas,México,,,2021-06-01
waybill_complemento_estacion_92,02,PM093,Frontera,México,,,2021-06-01
waybill_complemento_estacion_93,02,PM094,Chiltepec,México,,,2021-06-01
waybill_complemento_estacion_94,02,PM095,Sanchez Magallanes,México,,,2021-06-01
waybill_complemento_estacion_95,02,PM096,Puerto Altamira,México,,,2021-06-01
waybill_complemento_estacion_96,02,PM097,Puerto Tampico,México,,,2021-06-01
waybill_complemento_estacion_97,02,PM098,Puerto Matamoros,México,,,2021-06-01
waybill_complemento_estacion_98,02,PM099,La Pesca,México,,,2021-06-01
waybill_complemento_estacion_99,02,PM100,Puerto de Veracruz,México,,,2021-06-01
waybill_complemento_estacion_100,02,PM101,Tuxpan,México,,,2021-06-01
waybill_complemento_estacion_101,02,PM102,Coatzacoalcos,México,,,2021-06-01
waybill_complemento_estacion_102,02,PM103,Pajaritos,México,,,2021-06-01
waybill_complemento_estacion_103,02,PM104,Alvarado,México,,,2021-06-01
waybill_complemento_estacion_104,02,PM105,Tlacotalpan,México,,,2021-06-01
waybill_complemento_estacion_105,02,PM106,Nautla,México,,,2021-06-01
waybill_complemento_estacion_106,02,PM107,Tecolutla,México,,,2021-06-01
waybill_complemento_estacion_107,02,PM108,Puerto Progreso,México,,,2021-06-01
waybill_complemento_estacion_108,02,PM109,Celestún,México,,,2021-06-01
waybill_complemento_estacion_109,02,PM110,Sisal,México,,,2021-06-01
waybill_complemento_estacion_110,02,PM111,Chuburná,México,,,2021-06-01
waybill_complemento_estacion_111,02,PM112,Yucalpetén,México,,,2021-06-01
waybill_complemento_estacion_112,02,PM113,Telchac,México,,,2021-06-01
waybill_complemento_estacion_113,02,PM114,Chabihau,México,,,2021-06-01
waybill_complemento_estacion_114,02,PM115,Dzilam de Bravo,México,,,2021-06-01
waybill_complemento_estacion_115,02,PM116,San Felipe,México,,,2021-06-01
waybill_complemento_estacion_116,02,PM117,Río Lagartos,México,,,2021-06-01
waybill_complemento_estacion_117,02,PM118,Las Coloradas,México,,,2021-06-01
waybill_complemento_estacion_118,02,PM119,El Cuyo,México,,,2021-06-01
waybill_complemento_estacion_119,02,PM120,Extranjera,Extranjera,,,2021-06-01
waybill_complemento_estacion_120,03,EA0001,Konrad Adenauer,Alemania,CGN,,2021-06-01
waybill_complemento_estacion_121,03,EA0002,Rhein-Ruhr,Alemania,DUS,,2021-06-01
waybill_complemento_estacion_122,03,EA0003,Münster/Osnabrück,Alemania,FMO,,2021-06-01
waybill_complemento_estacion_123,03,EA0004,Rhein-Main,Alemania,FRA,,2021-06-01
waybill_complemento_estacion_124,03,EA0005,Hannover,Alemania,HAJ,,2021-06-01
waybill_complemento_estacion_125,03,EA0006,Fuhlsbüttel,Alemania,HAM,,2021-06-01
waybill_complemento_estacion_126,03,EA0007,Frankfurt-Hahn,Alemania,HHN,,2021-06-01
waybill_complemento_estacion_127,03,EA0008,Franz Josef Strauss,Alemania,MUC,,2021-06-01
waybill_complemento_estacion_128,03,EA0009,Nürnberg,Alemania,NUE,,2021-06-01
waybill_complemento_estacion_129,03,EA0010,Prince Mohammad Bin Abdulaziz,Arabia Saudita,MED,,2021-06-01
waybill_complemento_estacion_130,03,EA0011,Ingeniero Aeronáutico Ambrosio L.V. Taravella,Argentina,COR,,2021-06-01
waybill_complemento_estacion_131,03,EA0012,Ministro Pistarini,Argentina,EZE,,2021-06-01
waybill_complemento_estacion_132,03,EA0013,Astor Piazzolla,Argentina,MDQ,,2021-06-01
waybill_complemento_estacion_133,03,EA0014,Gobernador Francisco Gabrielli,Argentina,MDZ,,2021-06-01
waybill_complemento_estacion_134,03,EA0015,Teniente General Benjamín Matienzo,Argentina,TUC,,2021-06-01
waybill_complemento_estacion_135,03,EA0016,Vienna,Austria,VIE,,2021-06-01
waybill_complemento_estacion_136,03,EA0017,Grand Bahamas,Bahamas,FPO,,2021-06-01
waybill_complemento_estacion_137,03,EA0018,Lynden Pindling,Bahamas,NAS,,2021-06-01
waybill_complemento_estacion_138,03,EA0019,San Salvador,Bahamas,ZSA,,2021-06-01
waybill_complemento_estacion_139,03,EA0020,Grantley Adams,Barbados,BGI,,2021-06-01
waybill_complemento_estacion_140,03,EA0021,Brussels,Bélgica,BRU,,2021-06-01
waybill_complemento_estacion_141,03,EA0022,Liege,Bélgica,LGG,,2021-06-01
waybill_complemento_estacion_142,03,EA0023,Ostend-Brugge,Bélgica,OST,,2021-06-01
waybill_complemento_estacion_143,03,EA0024,Philip S.W. Goldson,Belice,BZE,,2021-06-01
waybill_complemento_estacion_144,03,EA0025,Jorge Wilsterman,Bolivia,CBB,,2021-06-01
waybill_complemento_estacion_145,03,EA0026,El Trompillo,Bolivia,SRZ,,2021-06-01
waybill_complemento_estacion_146,03,EA0027,Viru Viru,Bolivia,VVI,,2021-06-01
waybill_complemento_estacion_147,03,EA0028,Presidente Juscelino Kubitschek,Brasil,BSB,,2021-06-01
waybill_complemento_estacion_148,03,EA0029,Adalberto Mendes Da Silva,Brasil,CAC,,2021-06-01
waybill_complemento_estacion_149,03,EA0030,Carutapera,Brasil,CTP,,2021-06-01
waybill_complemento_estacion_150,03,EA0031,Afonso Pena,Brasil,CWB,,2021-06-01
waybill_complemento_estacion_151,03,EA0032,Pinto Martins,Brasil,FOR,,2021-06-01
waybill_complemento_estacion_152,03,EA0033,Antonio Carlos Jobim,Brasil,GIG,,2021-06-01
waybill_complemento_estacion_153,03,EA0034,Governador Andre Franco Montoro,Brasil,GRU,,2021-06-01
waybill_complemento_estacion_154,03,EA0035,Manaus,Brasil,MAO,,2021-06-01
waybill_complemento_estacion_155,03,EA0036,Santos Dumont,Brasil,PNG,,2021-06-01
waybill_complemento_estacion_156,03,EA0037,Salgado Filho,Brasil,POA,,2021-06-01
waybill_complemento_estacion_157,03,EA0038,Guararapes,Brasil,REC,,2021-06-01
waybill_complemento_estacion_158,03,EA0039,Santos Dumont,Brasil,SDU,,2021-06-01
waybill_complemento_estacion_159,03,EA0040,Professor Urbano Ernesto Stumpf,Brasil,SJK,,2021-06-01
waybill_complemento_estacion_160,03,EA0041,Deputado Luis Eduardo Magalhaes,Brasil,SSA,,2021-06-01
waybill_complemento_estacion_161,03,EA0042,Viracopos-Campinas,Brasil,VCP,,2021-06-01
waybill_complemento_estacion_162,03,EA0043,Gladman Point,Canadá,CYUR,,2021-06-01
waybill_complemento_estacion_163,03,EA0044,Sault Ste. Marie,Canadá,YAM,,2021-06-01
waybill_complemento_estacion_164,03,EA0045,Canadian Forces Base Shearwater,Canadá,YAW,,2021-06-01
waybill_complemento_estacion_165,03,EA0046,Canadian Forces Base Bagotville,Canadá,YBG,,2021-06-01
waybill_complemento_estacion_166,03,EA0047,Brandon Municipal,Canadá,YBR,,2021-06-01
waybill_complemento_estacion_167,03,EA0048,Edmonton,Canadá,YEG,,2021-06-01
waybill_complemento_estacion_168,03,EA0049,Fredericton,Canadá,YFC,,2021-06-01
waybill_complemento_estacion_169,03,EA0050,John C. Munro,Canadá,YHM,,2021-06-01
waybill_complemento_estacion_170,03,EA0051,Robert L. Stanfield,Canadá,YHZ,,2021-06-01
waybill_complemento_estacion_171,03,EA0052,Region Of Waterloo,Canadá,YKF,,2021-06-01
waybill_complemento_estacion_172,03,EA0053,Kelowna,Canadá,YLW,,2021-06-01
waybill_complemento_estacion_173,03,EA0054,Mary's Harbour,Canadá,YMH,,2021-06-01
waybill_complemento_estacion_174,03,EA0055,Fort Mcmurray,Canadá,YMM,,2021-06-01
waybill_complemento_estacion_175,03,EA0056,Montreal-Mirabel,Canadá,YMX,,2021-06-01
waybill_complemento_estacion_176,03,EA0057,Macdonald-Cartier,Canadá,YOW,,2021-06-01
waybill_complemento_estacion_177,03,EA0058,Jean Lesage,Canadá,YQB,,2021-06-01
waybill_complemento_estacion_178,03,EA0059,Windsor,Canadá,YQG,,2021-06-01
waybill_complemento_estacion_179,03,EA0060,Lethbridge County,Canadá,YQL,,2021-06-01
waybill_complemento_estacion_180,03,EA0061,Greater Moncton,Canadá,YQM,,2021-06-01
waybill_complemento_estacion_181,03,EA0062,Canadian Forces Base Comox,Canadá,YQQ,,2021-06-01
waybill_complemento_estacion_182,03,EA0063,Regina,Canadá,YQR,,2021-06-01
waybill_complemento_estacion_183,03,EA0064,Thunder Bay,Canadá,YQT,,2021-06-01
waybill_complemento_estacion_184,03,EA0065,Gander,Canadá,YQX,,2021-06-01
waybill_complemento_estacion_185,03,EA0066,Sudbury,Canadá,YSB,,2021-06-01
waybill_complemento_estacion_186,03,EA0067,Saint John,Canadá,YSJ,,2021-06-01
waybill_complemento_estacion_187,03,EA0068,Billy Bishop,Canadá,YTZ,,2021-06-01
waybill_complemento_estacion_188,03,EA0069,Pierre Elliott Trudeau,Canadá,YUL,,2021-06-01
waybill_complemento_estacion_189,03,EA0070,Rouyn-Noranda,Canadá,YUY,,2021-06-01
waybill_complemento_estacion_190,03,EA0071,Vancouver,Canadá,YVR,,2021-06-01
waybill_complemento_estacion_191,03,EA0072,James Armstrong Richardson,Canadá,YWG,,2021-06-01
waybill_complemento_estacion_192,03,EA0073,John G. Diefenbaker,Canadá,YXE,,2021-06-01
waybill_complemento_estacion_193,03,EA0074,Prince George,Canadá,YXS,,2021-06-01
waybill_complemento_estacion_194,03,EA0075,London,Canadá,YXU,,2021-06-01
